name,party,state,sons,daughters,total_children,sex_ratio
Shri Jayanthy Venkatachela Kameshwara Vallabharao,Communist Party of India,Andhra Pradesh,,,,
Smt. Ila Bhattacharya,Communist Party of India (Marxist),Tripura,,,,
Shri Narhari Amin,Bharatiya Janata Party,Gujarat,1.0,,,
Smt. Jayanti Patnaik,CONG(I),Odisha,,,,
Shri Harshvardhan Singh Dungarpur,Bharatiya Janata Party,Rajasthan,1.0,3.0,4.0,0.3333333333333333
Dr. G. Vijaya Mohan Reddy,Telugu Desam Party,Andhra Pradesh,,,,
Shri C.D. Natarajan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Manish Gupta,All India Trinamool Congress,West Bengal,2.0,,,
Shri Arangil Sreedharan,Janata Dal,Kerala,,,,
Shri Shiv Pratap Shukla,Bharatiya Janata Party,Uttar Pradesh,,3.0,,
Shri Harvendra Singh Hanspal,CONG(I),Punjab,,,,
Shri Bhagwat Narain Bhargava,Congress,Uttar Pradesh,,,,
Dr.(Smt.) Sathiavani Muthu,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Jayantilal Barot,Bharatiya Janata Party,Gujarat,2.0,2.0,4.0,1.0
Shri V G Gopal,Congress,Bihar,,,,
Smt. Satyavati Dang,CONG(I),Himachal Pradesh,,,,
Shri Moinul Hassan,Communist Party of India (Marxist),West Bengal,,1.0,,
Shri C. Haridas,Indian National Congress,Kerala,,,,
Smt. Leeladevi Renuka Prasad,Janata Dal,Karnataka,,,,
Dr. Radhakant Nayak,Indian National Congress,Odisha,2.0,2.0,4.0,1.0
Shri Syed Shahedullah,Communist Party of India (Marxist),West Bengal,,,,
Shri Veer Singh,Bahujan Samaj Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Narendra Kumar Kashyap,Bahujan Samaj Party,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri Ajay Sancheti,Bharatiya Janata Party,Maharashtra,2.0,,,
Shri Joseph Mathen,Indian National Congress,Kerala,,,,
Shri M.H..S. Nihal Singh,Indian National Congress,Punjab,,,,
Shri Abdul Gaiyur Qureshi,Congress,Madhya Pradesh,2.0,4.0,6.0,0.5
Shri Bhupinder Singh Mann,Other,Nominated,,,,
Shri Shatrughan Sinha,Bharatiya Janata Party,Bihar,2.0,1.0,3.0,2.0
Shri Inder Kumar Gujral,Janata Dal,Punjab,,,,
Shri Ghouse Mohiuddin Sheikh,CONG(I),Andhra Pradesh,,,,
Shri Piare Lall alias Piare Lall Talib Unnavi Kureel,Other,Uttar Pradesh,,,,
Shri Ram Vilas Paswan,Lok Janasakti Party,Bihar,1.0,3.0,4.0,0.3333333333333333
Shri Sri Narayan Mahtha,Indian National Congress,Bihar,,,,
Shri Madhavsinh Solanki,CONG(I),Gujarat,,,,
Shri D.P. Karmarkar,Indian National Congress,Mysore,,,,
Shri Praful Patel,Nationalist Congress Party,Maharashtra,1.0,3.0,4.0,0.3333333333333333
Shri Nabin Chandra Buragohain,CONG(I),Assam,,,,
Shri Balwant Singh Ramoowalia,Independent & Others,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri Pitamber Das,Jansangh,Uttar Pradesh,,,,
Shri Banwari Lal Kanchhal,Samajwadi Party,Uttar Pradesh,3.0,1.0,4.0,3.0
Shri Ganpat Hiralal Bhagat,Independent & Others,Maharashtra,,,,
Shri Bal Ram Singh Yadava,CONG(I),Uttar Pradesh,,,,
Shri Kameshwar Paswan,Bharatiya Janata Party,Bihar,,,,
Smt. Prema Cariappa,Indian National Congress,Karnataka,1.0,1.0,2.0,1.0
Shri L.R. Naik,CONG(I),Karnataka,,,,
Prof.(Smt) Asima Chatterjee,Nominated,Nominated,,,,
Shri R. Ramakrishnan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri C.P. Thirunavukkarasu,Dravida Munnetra Kazhagam,Puducherry,5.0,,,
Shri N.R. Dasari,Communist Party of India,Andhra Pradesh,,,,
Dr. K.V.P. Ramachandra Rao,Indian National Congress,Telangana,1.0,,,
Shri Pramod Kureel,Bahujan Samaj Party,Uttar Pradesh,,,,
Shri R. Narasimha Reddy,Congress,Andhra Pradesh,,,,
Ms. Sayeeda Khatun,Indian National Congress,Madhya Pradesh,,,,
Shri Hemant Soren,Jharkhand Mukti Morcha,Jharkhand,,,,
Shri Beni Prasad Verma,Samajwadi Party,Uttar Pradesh,3.0,2.0,5.0,1.5
Shri Bijoy Krishna Handique,CONG(I),Assam,,,,
Shri Sushil Chand Mohunta,Lok Dal,Haryana,,,,
Dr. Ashok S. Ganguly,Nominated,Nominated,,2.0,,
Shri R.S. Gavai,Republican Party of India,Maharashtra,2.0,1.0,3.0,2.0
Shri A. Abdul Razak,Congress,Travancore Cochin,,,,
Shri Dwijendralal Sen Gupta,Independent & Others,West Bengal,,,,
Dr. Jagadisan Mohandas Kumarappa,Nominated,Nominated,,,,
Shri Govind Chandra Misra,Indian National Congress,Odisha,,,,
Dr. Y. Lakshmi Prasad,Telugu Desam Party,Andhra Pradesh,1.0,1.0,2.0,1.0
Shri R.M. Desai,CONG(I),Karnataka,,,,
Shri D.K. Borooah,Congress,Assam,,,,
Shri John F. Fernandes,CONG(I),Goa,,,,
Shri M. Kadharsha,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Suresh Kalmadi,Indian National Congress,Maharashtra,1.0,2.0,3.0,0.5
Shri Yalla Sesi Bhushana Rao,Telugu Desam Party,Andhra Pradesh,,,,
Shri Pramod Tiwari,Indian National Congress,Rajasthan,,2.0,,
Shri David Ledger,Asom Gana Parishad,Assam,,,,
Shri Sinam Krishnamohan Singh,Congress,Manipur,,,,
Shri M. S. Ramachandran,CONG(I),Tamil Nadu,,,,
"Shri R.K, Narayan",Nominated,Nominated,,,,
Syed Mazhar Imam,Indian National Congress,Bihar,,,,
Pandit Algurai Shastri,Congress,Uttar Pradesh,,,,
Shri Yella Reddy,Communist Party of India,Andhra Pradesh,,,,
Shri Sriniwas Ganesh Sardesai,Communist Party of India,Maharashtra,,,,
Shri Wasim Ahmad,Independent & Others,Uttar Pradesh,,,,
Shri Bibudhendra Misra,Other,Odisha,,,,
Pandit Govind Ballabh Pant,Congress,Uttar Pradesh,,,,
Smt. Usha Barthakur,Congress,Assam,,,,
Shri M. Venkaiah Naidu,Bharatiya Janata Party,Rajasthan,1.0,1.0,2.0,1.0
Shri Jagdish Prasad Mathur,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Krishna Kriplani,Nominated,Nominated,,,,
Shri Nepaldev Bhattacharjee,Communist Party of India (Marxist),West Bengal,,,,
Shri Chandrika Prasad Tripathi,CONG(I),Madhya Pradesh,,,,
Dr. Dasari Narayana Rao,Indian National Congress,Andhra Pradesh,2.0,1.0,3.0,2.0
Shri Randeep Singh Surjewala,Indian National Congress,Rajasthan,2.0,,,
Shri Gulsher Ahmed,Congress,Vindhya Pradesh,,,,
Dr. K. Chiranjeevi,Indian National Congress,Andhra Pradesh,1.0,2.0,3.0,0.5
Dr. Sarup  Singh,Lok Dal,Haryana,,,,
Dr. C.P. Thakur,Bharatiya Janata Party,Bihar,2.0,2.0,4.0,1.0
Smt. Seeta Yudhvir,Congress,Andhra Pradesh,,,,
Shri K. Rahman Khan,Indian National Congress,Karnataka,3.0,2.0,5.0,1.5
Shri Sanat Kumar Raha,Communist Party of India,West Bengal,,,,
Shri S. Anbalagan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Bhagwan Din,CONG(I),Uttar Pradesh,,,,
Shri Kishan Lal Sharma,CONG(I),Rajasthan,,,,
Dr. Shrikant Ramchandra Jichkar,CONG(I),Maharashtra,,,,
Smt. Chhaya Verma,Indian National Congress,Chhattisgarh,2.0,,,
Shri Amar Nath Agarwal,Congress,Uttar Pradesh,,,,
Shri Shiv Lal Balmiki,CONG(I),Uttar Pradesh,,,,
Shri S.S . Mariswamy,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Ishwar Singh,Indian National Congress,Haryana,2.0,1.0,3.0,2.0
Smt. S. Phangnon Konyak,Bharatiya Janata Party,Nagaland,,1.0,,
Dr. Manmohan Singh,Indian National Congress,Rajasthan,,3.0,,
Shri Sanjay Singh,Aam Aadmi Party,National Capital Territory of Delhi,1.0,1.0,2.0,1.0
Shri Gulam Ali,Bharatiya Janata Party,Nominated,3.0,,,
Shri B. Parthasaradhi Reddy,Bharat Rashtra Samithi,Telangana,1.0,1.0,2.0,1.0
Shri Jaiprakash Nishad,Bharatiya Janata Party,Uttar Pradesh,2.0,,,
Shri Krishna Chandra Panda,Swatantra Party,Odisha,,,,
Sardar Balwinder Singh Bhunder,Shiromani Akali Dal,Punjab,2.0,,,
Shri P.L. Punia,Indian National Congress,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri M. Basavaraju,CONG(I),Karnataka,,,,
Shri R. Gopalakrishnan,Indian National Congress,Madras,,,,
Shri S. Ranganathan,Independent & Others,Tamil Nadu,,,,
Shri H.D. Devegowda,Janata Dal (Secular),Karnataka,4.0,2.0,6.0,2.0
Prof. Alka  Balram Kshatriya,Indian National Congress,Gujarat,,,,
Dr. Raghubir Sinh,Congress,Madhya Bharat,,,,
Shri Bimal Comar Ghose,Praja Socialist Party,West Bengal,,,,
Shri Shambhu Sharan Patel,Bharatiya Janata Party,Bihar,1.0,2.0,3.0,0.5
Shri Mathai Manjuran,Other,Travancore Cochin,,,,
Dr. Harivansh Rai Bachchan,Nominated,Nominated,,,,
Shri A.P. Janardhanam,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri P. Abraham,Congress,Pondicherry,,,,
Dr.(Smt.) Seeta Parmanand,Congress,Madhya Pradesh,,,,
Shri N.R.M. Swamy,Congress,Madras,,,,
Shri Ratan Tama,CONG(I),Arunachal Pradesh,,,,
Shri T. Bhaskara Rao,Independent & Others,Madras,,,,
Kazi Ahmad Hussain,Congress,Bihar,,,,
Dr. Parekunnel Joseph Thomas,Independent & Others,Kerala,,,,
Shri Surjit Singh Atwal,Congress,Punjab,,,,
Shri Prakash Narayan Sapru,Congress,Uttar Pradesh,,,,
Shri Anil Kumar,Rashtriya Janata Dal,Bihar,,,,
Shri Braja Kishore Prasad Sinha,Congress,Bihar,,,,
Prof. Chandresh P. Thakur,CONG(I),Bihar,,,,
Shri Arun Shourie,Bharatiya Janata Party,Uttar Pradesh,1.0,,,
Shri Gulam Nabi Untoo,Congress,Jammu & Kashmir,,,,
Shri Ansaruddin Ahmed,Congress,West Bengal,,,,
Shri Tarun Vijay,Bharatiya Janata Party,Uttarakhand,1.0,1.0,2.0,1.0
Shri Naresh Agrawal,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Zawar Hussain,Congress,Bihar,,,,
Shri Man Mohan Samal,Bharatiya Janata Party,Odisha,,1.0,,
Smt. Hema Malini,Bharatiya Janata Party,Karnataka,,2.0,,
Shri Mahavir Tyagi,Congress (O),Uttar Pradesh,,,,
Dr. Ramendra Kumar Yadav 'Ravi',Rashtriya Janata Dal,Bihar,3.0,1.0,4.0,3.0
Shri Harkishan Singh Surjeet,Communist Party of India (Marxist),Punjab,,,,
Dr. Rafiq Zakaria,CONG(I),Maharashtra,,,,
Shri Ashok Nath Verma,Janata Dal (Secular),Uttar Pradesh,,,,
Shri Pabitra Margherita,Bharatiya Janata Party,Assam,2.0,1.0,3.0,2.0
Shri Himmat Sinh,Congress,Gujarat,,,,
Shri Baleshwar Dayal,Janata,Madhya Pradesh,,,,
Smt. Mahua Maji,Jharkhand Mukti Morcha,Jharkhand,2.0,,,
Shri Dina Nath Mishra,Bharatiya Janata Party,Uttar Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Rameshwar Singh,Lok Dal,Uttar Pradesh,,,,
Shri T.G. Deshmukh,Congress,Maharashtra,,,,
Smt. Roda Mistry,Other,Andhra Pradesh,,,,
Shri Syed Nasir Hussain,Indian National Congress,Karnataka,2.0,,,
Shri Shankar Dayal Singh,Janata Dal,Bihar,,,,
Shri Laxmi Narain,Indian National Congress,National Capital Territory of Delhi,,,,
Shri Sitaram Yechury,Communist Party of India (Marxist),West Bengal,2.0,1.0,3.0,2.0
Shri T. Aliba Imti,United Democratic Front (Nagaland),Nagaland,,,,
Prof. D.P. Chattopadhyaya,CONG(I),West Bengal,,,,
Shri Bindeshwari Prasad Singh,Congress,Bihar,,,,
Dr.(Smt.) Sarojini Mahishi,Janata,Karnataka,,,,
Shri Narayan Patra,Congress,Odisha,,,,
Shri J. S. Raju,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Kunal Kumar Ghosh,All India Trinamool Congress,West Bengal,1.0,,,
Shri Husen Dalwai,CONG(I),Maharashtra,,,,
Sardar Darshan Singh Pheruman,Congress,Punjab,,,,
Shri Prakash Mehrotra,Independent & Others,Uttar Pradesh,,,,
Shri Gian Chand Totu,CONG(I),Himachal Pradesh,,,,
Shri Rewati Kant Sinha,Sikkim Sangram Parishad,Bihar,,,,
Chowdhary Mohammad Aslam,Indian National Congress,Jammu & Kashmir,2.0,3.0,5.0,0.6666666666666666
Shri Ram Gopal Agarwala,Congress,Bihar,,,,
Shri Oscar Fernandes,Indian National Congress,Karnataka,1.0,1.0,2.0,1.0
Shri Sheo Kumar Mishra,Indian National Congress,Uttar Pradesh,,,,
Ms. Saroj Pandey,Bharatiya Janata Party,Chhattisgarh,,,,
Shri K.M. Khan,Indian National Congress,Andhra Pradesh,3.0,3.0,6.0,1.0
Shri Samir Oraon,Bharatiya Janata Party,Jharkhand,,,,
Shri Mriganka Mohan Sur,Congress,West Bengal,,,,
Shri Chand Ram,CONG(I),Haryana,,,,
Shri Jagan Nath Kaushal,Indian National Congress,Patiala and East Punjab States Union,,,,
Dr. Faiyaz Ahmad,Rashtriya Janata Dal,Bihar,2.0,1.0,3.0,2.0
Dr. S. Chandrasekhar,Congress,Madras,,,,
Shri A. Navaneethakrishnan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,2.0,1.0,3.0,2.0
Ms. Anu Aga,Nominated,Nominated,,1.0,,
Shri Kasu Vengala Reddy,Congress,Andhra Pradesh,,,,
Smt. G. Lalitha Rajagopalan,Congress,Madras,,,,
Sardar Raghbir Singh Panjhazari,Congress,Patiala and East Punjab States Union,,,,
Shri Surendra Kumar Singh,CONG(I),Chhattisgarh,2.0,5.0,7.0,0.4
Shri Shivajirao Giridhar Patil,CONG(I),Maharashtra,,,,
Prof. M.M. Agarwal,Independent & Others,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Shanta Kumar,Bharatiya Janata Party,Himachal Pradesh,1.0,3.0,4.0,0.3333333333333333
Shri Chiman Bhai Mehta,Indian National Congress,Gujarat,,,,
Prof. N.M. Kamble,Indian National Congress,Maharashtra,,,,
Dr. Anil Agrawal,Bharatiya Janata Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Ravichandra Vaddiraju,Bharat Rashtra Samithi,Telangana,1.0,1.0,2.0,1.0
Smt. Uma Nehru,Other,Uttar Pradesh,,,,
Smt. Amrita Pritam,Nominated,Nominated,,,,
Shri Ronald Sapa Tlau,Indian National Congress,Mizoram,2.0,,,
Shri Praveen Rashtrapal,Indian National Congress,Gujarat,1.0,3.0,4.0,0.3333333333333333
Shri Khiru Mahto,Janata Dal (United),Bihar,2.0,1.0,3.0,2.0
Shri Moturu Hanumantha Rao,Communist Party of India (Marxist),Andhra Pradesh,,,,
Prof. Saurin Bhattacharjee,Revolutionary Socialist Party,West Bengal,,,,
Shri Munavvar Hasan,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri S. Muthukaruppan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Smt. Supriya Sule,Nationalist Congress Party,Maharashtra,1.0,1.0,2.0,1.0
Sardar Swaran Singh,Congress,Punjab,,,,
Dr. V.B. Singh,Congress,Uttar Pradesh,,,,
Shri Bhagirathi Majhi,Bharatiya Janata Party,Odisha,2.0,1.0,3.0,2.0
Shri S. K. Dey,Indian National Congress,Delhi,,,,
Shri R.C. Singh,Communist Party of India,West Bengal,2.0,1.0,3.0,2.0
Shri A. A. Rahim,Communist Party of India (Marxist),Kerala,2.0,,,
Smt. Kailashpati,CONG(I),Uttar Pradesh,,,,
Shri Basant Kumar Das,Janata Dal,Odisha,,,,
Shri A. Mohammedjan,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,3.0,1.0,4.0,3.0
Dr. Begwada Gopala Reddi,Congress,Andhra Pradesh,,,,
Shri Vishnu Kant Shastri,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri P. Ramamurti,Communist Party of India (Marxist),Tamil Nadu,,,,
Shri Pritish Nandy,Shiv Sena,Maharashtra,1.0,3.0,4.0,0.3333333333333333
Shri H.K. Javare Gowda,Janata Dal,Karnataka,2.0,,,
Prof. R.B.S. Varma,Bharatiya Janata Party,Uttar Pradesh,1.0,2.0,3.0,0.5
Shri T. Rathinavel,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,1.0,1.0,2.0,1.0
Shri Madanlal Saini,Bharatiya Janata Party,Rajasthan,1.0,6.0,7.0,0.16666666666666666
Shri D.P. Dhar,Congress,Jammu & Kashmir,,,,
Shri R. Sarath Kumar,Dravida Munnetra Kazhagam,Tamil Nadu,,3.0,,
Shri Jitendra Prasada,CONG(I),Uttar Pradesh,,,,
Shri Sandosh Kumar P,Communist Party of India,Kerala,1.0,1.0,2.0,1.0
Shri Abdul Rahim,CONG(I),Madras,,,,
Shri Deokinandan Narayan,Indian National Congress,Bombay,,,,
Smt. Bedavati Buragohain,Congress,Assam,,,,
Shri Rohit Manushankar Dave,Praja Socialist Party,Bombay,,,,
Smt. Bimla Kashyap Sood,Bharatiya Janata Party,Himachal Pradesh,1.0,2.0,3.0,0.5
Shri Ajit Kumar Sharma,Janata,Assam,,,,
Shri Naranbhai J. Rathwa,Indian National Congress,Gujarat,1.0,3.0,4.0,0.3333333333333333
Shri Vijaykumar Rupani,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri Talari Manohar,Telugu Desam Party,Andhra Pradesh,,,,
Shri S. Sivasubramanian,Dravida Munnetra Kazhagam,Tamil Nadu,2.0,,,
Shri K. C. George,Communist Party of India,Travancore Cochin,,,,
Shri Prithwi Nath,Other,Uttar Pradesh,,,,
Shri Satish Chandra Misra,Bahujan Samaj Party,Uttar Pradesh,1.0,4.0,5.0,0.25
Shri Gulam Mohi-Ud-Din Shawl,J&K National Conference,Jammu & Kashmir,,,,
Shri A.R. Antulay,CONG(I),Maharashtra,,,,
Shri R.K. Dhawan,Indian National Congress,Bihar,,,,
Shri H.K. Dua,Nominated,Nominated,1.0,,,
Shri Elamaram Kareem,Communist Party of India (Marxist),Kerala,,2.0,,
Shri U. N. Mahida,Independent & Others,Gujarat,,,,
Shri Chandra Mohan Sinha,Janata Dal,Odisha,,,,
Shri T. Chandrasekhar Reddy,CONG(I),Andhra Pradesh,,,,
Shri Kamakhya Prasad Tasa,Bharatiya Janata Party,Assam,,1.0,,
Shri Ram Kripal Yadav,Bharatiya Janata Party,Bihar,2.0,1.0,3.0,2.0
Chaudhary Birender Singh,Bharatiya Janata Party,Haryana,1.0,1.0,2.0,1.0
Shri Ananta Sethi,Congress,Odisha,2.0,2.0,4.0,1.0
Shri Balbir Punj,Bharatiya Janata Party,Odisha,,2.0,,
Smt. B. Jayashree,Nominated,Nominated,,1.0,,
Smt. Ramilaben Becharbhai Bara,Bharatiya Janata Party,Gujarat,1.0,1.0,2.0,1.0
Shri H. D. Rajah,Republican Party of India,Madras,,,,
Shri S. Sivaprakasam,Dravida Munnetra Kazhagam,Puducherry,,,,
Shri Jugal Kishore,Congress,Punjab,,,,
Shri Omprakash Tyagi,Jansangh,Uttar Pradesh,,,,
Ms. Jayalalitha Jayaram,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Raghav Chadha,Aam Aadmi Party,Punjab,,,,
Shri M.V. Rajasekharan,Indian National Congress,Karnataka,2.0,2.0,4.0,1.0
Shri C. Apok Jamir,Indian National Congress,Nagaland,1.0,1.0,2.0,1.0
Ms. Lata Mangeshkar,Nominated,Nominated,,,,
Shri P.D. Himatsingka,Congress,West Bengal,,,,
Dr. D. Masthan,Independent & Others,Tamil Nadu,1.0,,,
Shri C.L. Varma,Congress,Bilaspur and Himachal Pradesh,,,,
Shri Nagendra Nath Ojha,Communist Party of India,Bihar,3.0,2.0,5.0,1.5
Shri Jaswant Singh,Bharatiya Janata Party,Rajasthan,2.0,,,
Shri Vijay Singh,Congress,Rajasthan,,,,
Dr. M.M.S. Siddhu,Janata,Uttar Pradesh,,,,
Shri Mohan Singh,Indian National Congress,Uttar Pradesh,,,,
Shri Biplab Kumar Deb,Bharatiya Janata Party,Tripura,1.0,1.0,2.0,1.0
Dr. C. Narayana Reddy,Nominated,Nominated,,4.0,,
Shri Dhananjay Bhimrao Mahadik,Bharatiya Janata Party,Maharashtra,3.0,,,
Shri Devi Prasad Singh,Bharatiya Janata Party,Uttar Pradesh,2.0,1.0,3.0,2.0
Shri Kishen Chand,Other,Others,,,,
Shri Gopal Swarup Pathak,Congress,Uttar Pradesh,,,,
Shri Mohammed Nadimul Haque,All India Trinamool Congress,West Bengal,1.0,1.0,2.0,1.0
Shri Atal Bihari Vajpayee,Bharatiya Janata Party,Uttar Pradesh,,,,
Shri Jitendrabhai Labhshanker Bhatt,CONG(I),Gujarat,,,,
Shri B. Shiva Rao,Congress,Mysore,,,,
Shri Gulam Haider Valimohmed Momin,Indian National Congress,Gujarat,,,,
Shri Vivek Thakur,Bharatiya Janata Party,Bihar,,2.0,,
Shri Thomas Sangma,Nationalist Congress Party,Meghalaya,1.0,1.0,2.0,1.0
Shri T. Siddalingaya,Congress,Mysore,,,,
Shri Onkar Nath,Congress,Delhi,,,,
Shri Santosh Kumar Basu,CONG(I),West Bengal,,,,
Shri R.K. Jaichandra Singh,CONG(I),Manipur,,,,
Smt. Sushree Devi,Biju Janata Dal,Odisha,2.0,1.0,3.0,2.0
Shri A. K. Selvaraj,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri K.G. Kenye,Naga Peoples Front,Nagaland,2.0,2.0,4.0,1.0
Shri Ram Prasanna Ray,Congress,West Bengal,,,,
Shri M. Sherkhan,Congress,Mysore,,,,
Shri Lachhman Singh,Indian National Congress,Haryana,2.0,3.0,5.0,0.6666666666666666
Smt. Shyam Kumari Khan,Indian National Congress,Uttar Pradesh,,,,
Shri A. Thanglura,Congress,Assam,,,,
Shri Bishnu Charan Das,Biju Janata Dal,Odisha,1.0,,,
Shri Krishan Lal Sharma,Bharatiya Janata Party,Himachal Pradesh,,,,
Smt. Vidya Beniwal,Janata Dal,Haryana,,,,
Shri Saman Pathak,Communist Party of India (Marxist),West Bengal,,,,
Shri Bairagi Dwibedy,Swatantra Party,Odisha,,,,
Shri Anil Madhav Dave,Bharatiya Janata Party,Madhya Pradesh,,,,
Shri Jai Parkash Aggarwal,Indian National Congress,National Capital Territory of Delhi,2.0,,,
Dr. Akhilesh Das Gupta,Bahujan Samaj Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri B.R. Ambedkar,Scheduled Castes Federation,Bombay,,,,
Smt. Parvathi Krishnan,Other,Tamil Nadu,,,,
Shri Kesho Prasad Verma,Other,Madhya Pradesh,,,,
Shri Mahendra Mohan Mishra,Indian National Congress,Bihar,,,,
Shri Mohammad Yunus,Indian National Congress,Nominated,,,,
Shri Misa R. Ganesan,Dravida Munnetra Kazhagam,Tamil Nadu,,,,
Shri Nathi Singh,Lok Dal,Rajasthan,,,,
Smt. Yashoda Reddy,Congress,Andhra Pradesh,,,,
Shri K. P. Subramania Menon,Communist Party of India (Marxist),Kerala,,,,
Shri Raymond Thanhlira,Congress,Assam,,,,
Shri Sohan Lal Dhusiya,CONG(I),Uttar Pradesh,,,,
Shri Amar Shankar Sable,Bharatiya Janata Party,Maharashtra,1.0,2.0,3.0,0.5
Shri Mallikarjun Kharge,Indian National Congress,Karnataka,3.0,2.0,5.0,1.5
Shri Bhairon Singh Shekhawat,Jansangh,Madhya Pradesh,,,,
Shri Mahavir Prasad Shukla,Congress,Uttar Pradesh,,,,
Shri Vishambhar Prasad Nishad,Samajwadi Party,Uttar Pradesh,2.0,2.0,4.0,1.0
Shri Jairamdas Daulatram,Nominated,Nominated,,,,
Shri Suhrid Mullick Chowdhury,Forward Block,West Bengal,,,,
Shri B.C. Nanjundaiya,Indian National Congress,Mysore,,,,
Shri Mahadeo Prasad Varma,Janata,Uttar Pradesh,,,,
Shri Ashis Sen,Communist Party of India (Marxist),West Bengal,,,,
Shri Amar Singh,Independent & Others,Uttar Pradesh,,2.0,,
Dr. Prabha Thakur,Indian National Congress,Rajasthan,2.0,1.0,3.0,2.0
Shri Jagat Prakash Nadda,Bharatiya Janata Party,Himachal Pradesh,2.0,,,
Shri Rajnarain,Socialist Party,Uttar Pradesh,,,,
Shri Vedprakash P. Goyal,Bharatiya Janata Party,Maharashtra,2.0,2.0,4.0,1.0
Shri Ajay Maroo,Bharatiya Janata Party,Jharkhand,2.0,1.0,3.0,2.0
Shri Bir Bahadur Singh,CONG(I),Uttar Pradesh,,,,
Shri Ajay Pratap Singh,Bharatiya Janata Party,Madhya Pradesh,1.0,,,
Shri Suresh J. Desai,Congress,Gujarat,,,,
Shri Mahabir Prasad Bhargava,Congress,Uttar Pradesh,,,,
Shri Badri Narayan Pradhan,Communist Party of India (Marxist),West Bengal,,,,
Kumari Selja,Indian National Congress,Haryana,,,,
Dr. Anil Sukhdeorao Bonde,Bharatiya Janata Party,Maharashtra,1.0,1.0,2.0,1.0
Shri Naraindas Rattanmal Malkani,Nominated,Nominated,,,,
Shri Raoof Valiullah,Indian National Congress,Gujarat,,,,
Shri Ananda Bhaskar Rapolu,Indian National Congress,Telangana,1.0,1.0,2.0,1.0
Shri Pannalal Saraogi,Congress,West Bengal,,,,
Shri Ranjit Singh,Janata Dal,Haryana,,,,
Shri Bharatsinh Prabhatsinh Parmar,Bharatiya Janata Party,Gujarat,2.0,1.0,3.0,2.0
Ms. Shanta Vasisht,Congress,Delhi,,,,
Shri Jayant Kumar Malhoutra,Independent & Others,Uttar Pradesh,,,,
Shri R.K. Dorendra Singh,CONG(I),Manipur,,,,
Shri Kamalnath Jha,Congress,Bihar,,,,
Shri Chaturanan Mishra,Communist Party of India,Bihar,,,,
Shri R. Samba Siva Rao,CONG(I),Andhra Pradesh,,,,
Shri Kysanbally  Chengalaraya Reddy,Congress,Mysore,,,,
Shri Kizhedath Damodaran,Communist Party of India,Kerala,,,,
Shri D.D. Puri,Congress,Haryana,,,,
Shri Banka Behary Das,Praja Socialist Party,Odisha,,,,
Shri Baishnab Parida,Biju Janata Dal,Odisha,1.0,1.0,2.0,1.0
Shri Har Prasad Saksena,Congress,Uttar Pradesh,,,,
Dr. Ishwar Chandra Gupta,Bharatiya Janata Party,Uttar Pradesh,,,,
Dr. Vinay P. Sahasrabuddhe,Bharatiya Janata Party,Maharashtra,1.0,,,
Shri Debabrata Biswas,All India Forward Block,West Bengal,,1.0,,
Shri N. Sri Rama Reddy,Congress,Mysore,,,,
Shri Aayanur Manjunatha,Bharatiya Janata Party,Karnataka,1.0,1.0,2.0,1.0
Shri Shamprasad Rupshanker Vasavada,Congress (O),Gujarat,,,,
Shri Mahendra Mohan,Samajwadi Party,Uttar Pradesh,1.0,1.0,2.0,1.0
Shri Lahar Singh Siroya,Bharatiya Janata Party,Karnataka,2.0,1.0,3.0,2.0
Ch. Sukhram Singh Yadav,Samajwadi Party,Uttar Pradesh,1.0,2.0,3.0,0.5
